ISSUER_ISIN,ANNEE,TRIMESTRE,AS_OF_DATE,IVA_COMPANY_RATING,IVA_PREVIOUS_RATING,IVA_RATING_TREND,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,delta_WEIGHTED_AVERAGE_SCORE,delta_ENVIRONMENTAL_PILLAR_SCORE,delta_SOCIAL_PILLAR_SCORE,delta_GOVERNANCE_PILLAR_SCORE
US337158AJ88,2023,2,20240101,BBB,BBB,0.0,4.8,4.5,0.9,4.8,5.5,,,,
US337158AJ88,2024,3,20240801,BBB,BBB,0.0,4.5,4.3,1.0,4.9,4.7,-0.20000000000000018,0.09999999999999998,0.10000000000000053,-0.7999999999999998
US33717WAD65,2023,3,20240101,BBB,BBB,0.0,4.5,4.2,2.1,3.6,6.0,,,,
US33748L1017,2023,1,20240101,B,,,1.7,3.7,2.8,3.3,4.9,,,,
US33748L1017,2024,1,20240201,B,B,0.0,2.8,4.0,2.4,3.7,5.2,0.2999999999999998,-0.3999999999999999,0.40000000000000036,0.2999999999999998
US337627FF56,2023,3,20240101,A,BBB,1.0,6.4,5.0,2.2,4.4,7.1,,,,
US337627YZ00,2023,3,20240401,A,BBB,1.0,6.4,5.1,2.2,4.4,7.3,,,,
US337627YZ00,2024,3,20241001,A,A,0.0,5.9,4.8,2.3,4.3,6.5,-0.2999999999999998,0.09999999999999964,-0.10000000000000053,-0.7999999999999998
US33766NAJ37,2023,2,20240101,BB,BB,0.0,3.8,3.9,1.0,3.3,5.8,,,,
US33766NAJ37,2024,2,20240701,BB,BB,0.0,4.1,3.9,1.0,3.5,5.7,0.0,0.0,0.20000000000000018,-0.09999999999999964
US33766NAV64,2024,2,20240901,BB,BB,0.0,4.1,3.9,1.0,3.5,5.7,,,,
US33767BAB53,2023,2,20240101,AA,AA,0.0,8.0,6.9,7.5,6.8,6.0,,,,
US33767BAB53,2024,2,20240501,AA,AA,0.0,8.2,7.1,7.5,6.6,6.6,0.1999999999999993,0.0,-0.20000000000000018,0.5999999999999996
US33768G1076,2023,1,20240101,CCC,BB,-2.0,0.7,3.6,8.0,1.8,6.2,,,,
US33768G1076,2024,1,20240401,CCC,CCC,0.0,1.0,3.5,8.0,1.8,6.2,-0.10000000000000009,0.0,0.0,0.0
US3377381088,2023,3,20240101,A,A,0.0,6.3,5.3,9.7,4.0,6.6,,,,
US3377381088,2024,3,20240901,A,A,0.0,6.2,5.3,9.7,4.0,6.9,0.0,0.0,0.0,0.3000000000000007
US3379307057,2022,4,20240101,BBB,BBB,0.0,5.5,4.4,0.0,3.7,6.4,,,,
US3379321074,2023,3,20240101,BBB,BBB,0.0,5.7,6.3,5.2,8.8,6.2,,,,
