name,score_kind,annee,trimestre,isin,sector,industry,country,region,first_quartile,consensus,third_quartile,strength,delta
Abb ltd,ESG,2020,2,CH0012221716,Industrials,,Switzerland,Europe,65.4,65.4,65.5,99.9,0.0
Abb ltd,ESG,2020,3,CH0012221716,Industrials,,Switzerland,Europe,65.4,65.4,65.5,99.9,0.0
Abb ltd,ESG,2020,4,CH0012221716,Industrials,,Switzerland,Europe,65.4,65.4,65.5,99.9,0.0
Abb ltd,ESG,2021,1,CH0012221716,Industrials,,Switzerland,Europe,44.3,44.3,66.6,77.7,-21.10000000000001
Abb ltd,ESG,2021,2,CH0012221716,Industrials,,Switzerland,Europe,44.3,44.3,66.6,77.7,0.0
Abb ltd,ESG,2021,3,CH0012221716,Industrials,,Switzerland,Europe,44.3,44.3,66.6,77.7,0.0
Abb ltd,ESG,2021,4,CH0012221716,Industrials,,Switzerland,Europe,44.3,44.3,66.6,77.7,0.0
Abb ltd,ESG,2022,1,CH0012221716,Industrials,,Switzerland,Europe,53.7,53.7,72.0,81.7,9.400000000000006
Abb ltd,ESG,2022,2,CH0012221716,Industrials,,Switzerland,Europe,53.7,53.7,72.0,81.7,0.0
Abb ltd,ESG,2022,3,CH0012221716,Industrials,,Switzerland,Europe,53.7,53.7,72.0,81.7,0.0
Abb ltd,ESG,2022,4,CH0012221716,Industrials,,Switzerland,Europe,53.7,53.7,72.0,81.7,0.0
Abb ltd,ESG,2023,1,CH0012221716,Industrials,,Switzerland,Europe,57.9,58.0,79.9,81.1,4.299999999999997
Abb ltd,ESG,2023,2,CH0012221716,Industrials,,Switzerland,Europe,57.9,58.0,79.9,81.1,0.0
Abb ltd,ESG,2023,3,CH0012221716,Industrials,,Switzerland,Europe,56.3,68.9,74.6,85.4,10.900000000000006
Abb ltd,ESG,2023,4,CH0012221716,Industrials,,Switzerland,Europe,59.7,70.6,74.8,88.0,1.6999999999999886
Abb ltd,ESG,2024,1,CH0012221716,Industrials,,Switzerland,Europe,61.3,70.1,74.1,89.9,-0.5
Abb ltd,ESG,2024,2,CH0012221716,Industrials,,Switzerland,Europe,56.0,64.8,74.0,84.6,-5.299999999999997
Abb ltd,ESG,2024,3,CH0012221716,Industrials,,Switzerland,Europe,60.4,69.1,74.0,89.0,4.299999999999997
Abb ltd,ESG,2024,4,CH0012221716,Industrials,,Switzerland,Europe,60.4,69.1,74.0,89.0,0.0
Abb ltd,ESG,2025,1,CH0012221716,Industrials,,Switzerland,Europe,60.4,69.1,74.0,89.0,0.0
Abb ltd,G,2020,1,CH0012221716,Industrials,,Switzerland,Europe,63.0,63.0,70.3,92.7,
Abb ltd,G,2020,2,CH0012221716,Industrials,,Switzerland,Europe,63.0,63.0,70.3,92.7,0.0
Abb ltd,G,2020,3,CH0012221716,Industrials,,Switzerland,Europe,63.0,63.0,70.3,92.7,0.0
Abb ltd,G,2020,4,CH0012221716,Industrials,,Switzerland,Europe,63.0,63.0,70.3,92.7,0.0
Abb ltd,G,2021,1,CH0012221716,Industrials,,Switzerland,Europe,63.7,63.7,71.0,92.7,0.7000000000000028
Abb ltd,G,2021,2,CH0012221716,Industrials,,Switzerland,Europe,63.7,63.7,71.0,92.7,0.0
